x:0 ,y:1 ,actual index: 0value:  ,actual_value:  
x:0 ,y:2 ,actual index: 0value:i ,actual_value: i
x:0 ,y:3 ,actual index: 0value:r ,actual_value: r
x:0 ,y:4 ,actual index: 0value:  ,actual_value:  
x:0 ,y:5 ,actual index: 0value:c ,actual_value: c
x:0 ,y:6 ,actual index: 0value:r ,actual_value: r
x:0 ,y:7 ,actual index: 0value:i ,actual_value: i
x:0 ,y:8 ,actual index: 0value:i ,actual_value: i
x:0 ,y:9 ,actual index: 0value:n ,actual_value: n
x:0 ,y:10 ,actual index: 1value:2 ,actual_value: 2
x:0 ,y:11 ,actual index: 1value:t ,actual_value: t
x:0 ,y:12 ,actual index: 1value:r ,actual_value: r
x:0 ,y:13 ,actual index: 1value:m ,actual_value: m
x:0 ,y:14 ,actual index: 1value:e ,actual_value: e
x:0 ,y:15 ,actual index: 1value:  ,actual_value:  
x:1 ,y:15 ,actual index: 1value:n ,actual_value: n
x:2 ,y:15 ,actual index: 1value:i ,actual_value: i
x:2 ,y:14 ,actual index: 1value:  ,actual_value:  
x:2 ,y:15 ,actual index: 1value:i ,actual_value: i
x:2 ,y:16 ,actual index: 1value:  ,actual_value:  
x:3 ,y:16 ,actual index: 1value:c ,actual_value: c
x:3 ,y:17 ,actual index: 1value:s ,actual_value: s
x:4 ,y:17 ,actual index: 1value:  ,actual_value:  
x:4 ,y:18 ,actual index: 1value:n ,actual_value: n
x:5 ,y:18 ,actual index: 1value:i ,actual_value: i
x:5 ,y:19 ,actual index: 1value:m ,actual_value: m
x:6 ,y:19 ,actual index: 1value:a ,actual_value: a
x:6 ,y:20 ,actual index: 1value:  ,actual_value:  
x:7 ,y:20 ,actual index: 1value:v ,actual_value: v
x:7 ,y:21 ,actual index: 1value:e ,actual_value: e
x:8 ,y:21 ,actual index: 1value:t ,actual_value: t
x:8 ,y:22 ,actual index: 2value:i ,actual_value: i
x:9 ,y:22 ,actual index: 2value:t ,actual_value: t
x:9 ,y:23 ,actual index: 2value:  ,actual_value:  
x:9 ,y:24 ,actual index: 2value:e ,actual_value: e
x:10 ,y:24 ,actual index: 2value:s ,actual_value: s
x:11 ,y:24 ,actual index: 2value:q ,actual_value: q
x:11 ,y:25 ,actual index: 2value:d ,actual_value: d
x:12 ,y:25 ,actual index: 2value:u ,actual_value: u
x:12 ,y:26 ,actual index: 2value:  ,actual_value:  
x:13 ,y:26 ,actual index: 2value:s ,actual_value: s
x:13 ,y:27 ,actual index: 2value:s ,actual_value: s
x:14 ,y:27 ,actual index: 2value:  ,actual_value:  
x:14 ,y:28 ,actual index: 2value:. ,actual_value: .
x:15 ,y:28 ,actual index: 2value:  ,actual_value:  
x:15 ,y:29 ,actual index: 2value:u ,actual_value: u
x:16 ,y:29 ,actual index: 2value:m ,actual_value: m
x:16 ,y:30 ,actual index: 2value:  ,actual_value:  
x:17 ,y:30 ,actual index: 2value:u ,actual_value: u
x:17 ,y:31 ,actual index: 2value:t ,actual_value: t
x:18 ,y:31 ,actual index: 2value:  ,actual_value:  
x:18 ,y:32 ,actual index: 3value:s ,actual_value: s
x:19 ,y:32 ,actual index: 3value:t ,actual_value: t
x:19 ,y:33 ,actual index: 3value:o ,actual_value: o
x:20 ,y:33 ,actual index: 3value:n ,actual_value: n
x:20 ,y:34 ,actual index: 3value:  ,actual_value:  
x:21 ,y:34 ,actual index: 3value:e ,actual_value: e
x:21 ,y:35 ,actual index: 3value:g ,actual_value: g
x:22 ,y:35 ,actual index: 3value:e ,actual_value: e
x:22 ,y:36 ,actual index: 3value:r ,actual_value: r
x:23 ,y:36 ,actual index: 3value:i ,actual_value: i
x:23 ,y:37 ,actual index: 3value:e ,actual_value: e
x:24 ,y:37 ,actual index: 3value:n ,actual_value: n
x:24 ,y:38 ,actual index: 3value:a ,actual_value: a
